ID,risk_level,time_horizon,phrase
1,2,0,"Oh, I need money quick and am willing to risk what I have"
2,0,2,I am using my life's saving for a stable retirement
3,1,1,I've got some extra cash I'd like to grow over the next few years
4,0,0,I want the safest place to put my emergency fund
5,2,1,It's time to play big and bet on fast-growing companies
6,1,2,I'm young and can afford to wait for my investments to flourish
7,1,1,I prefer investments that are a bit adventurous but not too wild
8,0,2,Let's secure a fortune for my children's future
9,2,0,"I'm all in for the next big thing, regardless of the risk"
10,0,2,I aim for steady income in my post-retirement years
11,0,2,Seeking a diversified portfolio to mitigate volatility over the next decade
12,2,1,"Interested in capitalizing on emerging markets with a high-risk, high-reward profile"
13,0,0,Pursuing tax-efficient investments with minimal risk exposure for immediate needs
14,1,2,"Exploring opportunities in blue-chip stocks for sustainable, long-term wealth accumulation"
15,0,2,Evaluating fixed-income securities to preserve capital and ensure steady income
16,2,1,Considering aggressive growth funds to maximize returns in a five-year horizon
17,2,1,Assessing risk-adjusted returns of tech startups for potential high-growth investments
18,1,2,Looking to invest in environmentally sustainable projects with medium to long-term commitment
19,2,0,"Exploring short-term, high-yield bonds for better liquidity and return profile"
20,1,1,Seeking to enhance portfolio yield through strategic investments in real estate investment trusts (REITs)
21,0,2,Contemplating conservative investment strategies to protect retirement savings
22,2,0,Aiming to leverage quantitative trading strategies for short-term market inefficiencies
23,1,1,Planning to allocate assets into value stocks with strong fundamentals for medium-term holding
24,1,2,Investigating global mutual funds for diversified exposure and risk management
25,0,1,Focusing on sovereign bonds to safeguard principal with a low-risk appetite
26,0,1,Maximizing portfolio diversification to spread risk across various asset classes.
27,2,0,Leveraging short-term market trends for accelerated capital growth.
28,0,2,Implementing a conservative asset allocation strategy for retirement planning.
29,2,1,Identifying high-growth potential startups for strategic venture capital investment.
30,2,1,Utilizing algorithmic trading strategies to exploit market volatility.
31,0,1,Investing in government bonds to ensure a stable and predictable income stream.
32,0,2,Analyzing long-term economic cycles to guide strategic asset allocation.
33,2,0,Adopting a contrarian investment approach to capitalize on market corrections.
34,0,1,Exploring international markets for global diversification and risk management.
35,1,2,Prioritizing ESG investments to align with sustainable and ethical values.
36,2,0,I wanna make quick cash from whatever's trending right now.
37,1,1,"Putting some money aside for a rainy day, but hoping it grows a bit too."
38,2,1,Dreaming of hitting it big with the next tech unicorn.
39,0,2,Just looking for a safe place to park my savings without losing sleep.
40,2,0,"Trying to get a piece of the action in hot new industries, YOLO."
41,0,1,Want to grow my wedding fund without too much risk.
42,1,2,Eyeing retirement with a mix of stocks and bonds to keep things steady.
43,1,1,Hoping to fund my world tour with some savvy investments.
44,2,1,"Looking for a golden ticket in alternative investments, like crypto or art."
45,0,1,Saving up for a down payment on a house with some medium-term investments.
46,0,2,"Aiming to capitalize on stable, low-volatility assets for consistent gains over the long haul"
47,0,1,In pursuit of safe investment options and am looking at the medium term
48,1,2,"I want balanced risk and steady growth over the long haul, focusing on future security."
49,2,1,I'm looking for quick profits regardless of time horizon
50,2,0,"Looking to diversify with in high-risk, high-reward investments in the short term"
51,2,1,Strategically investing in high-growth ventures with potential for significant returns regardless of time horizon
